,name,rounds,scoring_avg,avg_drive,fwy%,gir%,sg_putt,sg_t2g,sg_tot,top_10,wins,year,money,points
0,Aaron Baddeley,83.0,70.088,291.9,60.0,60.35,0.629,0.435,1.064,7,1,2007,3441119,17703
1,Adam Scott,69.0,70.008,300.9,59.17,65.44,0.129,1.105,1.234,6,1,2007,3413185,15630
2,Alex Cejka,80.0,70.437,288.9,68.08,69.44,-0.479,1.207,0.728,4,0,2007,868303,2400
3,Anders Hansen,55.0,70.856,280.7,66.95,62.85,-0.176,0.087,-0.089,0,0,2007,461216,1989
4,Andrew Buckle,77.0,71.443,294.7,58.14,62.52,0.161,-0.426,-0.265,1,0,2007,513630,1875
5,Anthony Kim,93.0,70.128,302.4,60.79,65.35,-0.121,0.794,0.673,4,0,2007,1545195,6856
6,Arron Oberholser,69.0,69.807,285.5,61.7,62.25,0.362,0.821,1.183,5,0,2007,1797458,8811
7,Bart Bryant,87.0,70.637,281.1,70.66,66.34,0.198,0.44,0.638,2,0,2007,1167874,4555
8,Ben Curtis,80.0,71.582,277.1,67.37,60.56,-0.188,-0.561,-0.749,2,0,2007,772321,2955
9,Bill Haas,93.0,70.653,302.7,62.93,65.98,-0.018,0.426,0.408,3,0,2007,967443,2461
10,Billy Andrade,88.0,71.588,286.2,59.56,65.03,-0.134,-0.107,-0.241,0,0,2007,499197,2019
11,Billy Mayfair,98.0,70.444,286.8,70.7,68.08,-0.086,0.69,0.604,6,0,2007,1814518,6309
12,Bo Van Pelt,104.0,70.051,294.7,61.97,66.4,0.16,0.789,0.949,4,0,2007,1559181,5604
13,Bob Estes,88.0,70.962,282.6,65.28,63.19,0.616,-0.235,0.38,3,0,2007,878051,3119
14,Bob Heintz,85.0,71.162,285.2,64.74,63.17,0.221,-0.143,0.078,2,0,2007,649342,2888
15,Bob Tway,103.0,71.272,284.3,60.45,63.52,0.16,-0.489,-0.329,0,0,2007,456767,1790
16,Boo Weekley,101.0,70.303,296.6,64.65,65.86,-0.192,0.819,0.627,5,1,2007,2613211,10790
17,Brandt Snedeker,105.0,70.089,285.6,59.8,64.58,0.511,0.161,0.672,6,1,2007,2836643,13277
18,Brendon de Jonge,76.0,71.413,293.8,59.2,64.35,-0.083,-0.188,-0.271,2,0,2007,447172,1010
19,Brett Quigley,79.0,71.212,290.7,55.9,62.11,-0.005,0.134,0.128,1,0,2007,717411,2963
20,Brett Wetterich,88.0,70.902,303.3,58.15,66.28,-0.533,0.667,0.134,4,0,2007,2208282,9854
21,Brian Bateman,55.0,71.657,291.6,58.74,61.33,-0.079,-0.66,-0.739,1,1,2007,1022763,5102
22,Brian Davis,101.0,70.799,279.6,71.96,64.96,0.065,0.528,0.593,3,0,2007,1289207,4653
23,Brian Gay,107.0,70.877,270.0,72.9,62.94,0.384,-0.028,0.356,2,0,2007,1114571,4619
24,Briny Baird,115.0,70.662,292.1,66.24,69.27,-0.049,0.635,0.586,1,0,2007,985453,3517
25,Bryce Molder,56.0,72.853,291.2,54.82,59.47,0.186,-1.629,-1.443,1,0,2007,257593,107
26,Bubba Dickerson,51.0,72.712,298.9,61.68,59.34,-0.66,-0.97,-1.63,0,0,2007,87430,252
27,Bubba Watson,80.0,70.914,315.2,55.66,65.49,0.085,0.288,0.372,5,0,2007,1654807,7198
28,Cameron Beckman,96.0,70.845,291.9,67.7,69.87,-0.072,0.49,0.418,3,0,2007,902258,1610
29,Camilo Villegas,82.0,70.163,298.3,60.23,65.72,0.046,0.903,0.949,6,0,2007,1866961,10337
30,Carl Pettersson,111.0,70.453,288.5,59.41,63.84,0.232,0.589,0.821,6,0,2007,2040938,7309
31,Chad Campbell,96.0,71.309,287.0,62.79,63.77,-0.477,0.24,-0.237,2,1,2007,1701242,3144
32,Charles Howell III,89.0,70.655,299.8,49.54,63.37,0.338,0.03,0.368,5,1,2007,2832091,13427
33,Charles Warren,101.0,70.793,302.8,66.81,68.37,-0.324,0.638,0.314,3,0,2007,1068440,4012
34,Charley Hoffman,97.0,71.229,299.9,57.08,64.03,0.153,-0.187,-0.034,2,1,2007,1689366,6457
35,Charlie Wi,90.0,70.873,286.0,66.59,66.35,0.416,0.005,0.421,3,0,2007,1145975,4038
36,Chris Couch,76.0,71.783,299.8,56.59,64.11,-0.135,-0.481,-0.616,0,0,2007,355386,1494
37,Chris DiMarco,79.0,70.913,282.4,59.05,60.53,-0.068,0.183,0.115,1,0,2007,950414,3385
38,Chris Riley,59.0,71.009,280.6,71.39,62.12,0.281,0.024,0.305,0,0,2007,403199,919
39,Chris Stroud,66.0,71.218,290.0,66.56,66.15,-0.087,0.046,-0.041,2,0,2007,673106,1174
40,Chris Tidland,59.0,71.967,292.9,61.8,63.64,0.547,-1.253,-0.706,1,0,2007,339482,1044
41,Cliff Kresge,107.0,70.76,285.6,61.15,64.75,0.095,-0.021,0.074,1,0,2007,901549,3915
42,Corey Pavin,81.0,71.276,265.3,68.82,60.77,0.309,-0.487,-0.178,1,0,2007,498252,2081
43,Craig Barlow,52.0,71.343,295.5,60.97,67.2,-0.253,0.278,0.024,0,0,2007,154214,451
44,Craig Bowden,78.0,71.565,273.1,73.07,64.91,0.255,-0.258,-0.004,1,0,2007,333970,1193
45,Craig Kanada,109.0,71.065,277.2,65.96,64.5,0.012,-0.001,0.011,1,0,2007,743305,3189
46,Craig Lile,77.0,71.386,283.9,63.27,63.04,0.484,-0.592,-0.108,0,0,2007,255659,599
47,D.J. Brigman,67.0,71.467,288.9,62.2,66.05,-0.026,-0.464,-0.49,0,0,2007,268205,653
48,D.J. Trahan,99.0,71.083,295.1,65.36,66.95,-0.559,0.53,-0.029,3,0,2007,1106374,2874
49,Daisuke Maruyama,86.0,71.547,288.6,67.42,64.91,-0.265,-0.12,-0.385,1,0,2007,499206,685
50,Daniel Chopra,106.0,70.948,297.6,55.34,65.2,0.222,0.18,0.402,3,1,2007,1755110,2919
51,Darron Stiles,65.0,71.592,284.8,68.35,65.48,-1.017,0.368,-0.649,0,0,2007,215379,922
52,David Branshaw,83.0,72.223,289.2,65.74,64.73,-0.382,-0.662,-1.044,1,0,2007,323407,324
53,David Toms,80.0,69.883,282.5,64.85,63.78,0.278,0.612,0.89,7,0,2007,2095837,8859
54,Davis Love III,66.0,70.984,296.8,58.58,64.02,-0.29,0.337,0.048,3,0,2007,1016489,4317
55,Dean Wilson,92.0,70.557,277.2,64.0,63.35,0.619,-0.175,0.444,4,0,2007,1258507,4789
56,Dicky Pride,71.0,71.465,281.4,62.65,63.6,0.307,-0.63,-0.322,1,0,2007,415792,907
57,Doug LaBelle II,104.0,71.332,276.6,72.78,64.33,-0.018,-0.32,-0.338,1,0,2007,604633,2734
58,Duffy Waldorf,69.0,71.648,287.5,64.88,66.99,-0.219,-0.032,-0.25,0,0,2007,359018,1313
59,Eric Axley,107.0,71.97,287.8,55.88,61.32,0.059,-0.784,-0.726,0,0,2007,440911,1740
60,Ernie Els,59.0,69.294,297.9,56.99,64.66,-0.031,1.609,1.578,5,0,2007,2705715,12112
61,Frank Lickliter II,95.0,71.137,284.2,65.64,65.15,0.227,-0.139,0.088,0,0,2007,584084,2350
62,Fred Funk,65.0,70.55,271.8,75.26,61.75,0.265,-0.053,0.211,2,1,2007,1239376,4626
63,Freddie Jacobson,70.0,70.259,284.7,63.62,66.19,0.66,0.353,1.012,5,0,2007,1469541,4540
64,Gavin Coles,87.0,71.245,268.3,70.27,62.58,0.34,-0.626,-0.286,2,0,2007,511353,2174
65,Geoff Ogilvy,84.0,70.085,295.3,59.02,62.75,0.072,0.749,0.821,7,0,2007,2943203,13390
66,George McNeill,95.0,70.991,298.2,59.84,63.43,0.487,-0.213,0.274,2,1,2007,1504627,3524
67,Glen Day,85.0,71.172,280.7,70.42,64.33,0.063,-0.238,-0.175,0,0,2007,397491,1672
68,Greg Owen,81.0,72.086,296.5,64.08,68.14,-0.848,-0.066,-0.915,1,0,2007,426601,1321
69,Harrison Frazar,88.0,71.569,302.8,55.07,63.63,-0.439,0.011,-0.429,2,0,2007,698534,2710
70,Heath Slocum,101.0,69.948,279.6,73.28,66.45,0.22,0.659,0.879,6,0,2007,2184379,9132
71,Henrik Stenson,52.0,70.935,296.3,56.97,61.23,0.3,-0.012,0.288,2,1,2007,1897554,6948
72,Hunter Mahan,91.0,69.99,296.7,68.05,66.91,0.213,0.419,0.632,6,1,2007,2858995,13380
73,Ian Poulter,63.0,70.073,282.5,63.23,61.67,-0.038,0.958,0.92,5,0,2007,1431390,6884
74,J.B. Holmes,71.0,71.377,312.6,58.7,64.57,-0.559,0.223,-0.336,3,0,2007,874216,3035
75,J.J. Henry,86.0,70.506,294.4,63.96,66.67,0.024,0.45,0.473,2,0,2007,1088660,3624
76,J.P. Hayes,89.0,71.065,291.9,61.26,62.92,-0.002,0.297,0.295,3,0,2007,890815,2767
77,Jaco Van Zyl,51.0,72.691,285.3,68.61,63.95,-0.418,-0.723,-1.141,0,0,2007,53763,224
78,Jarrod Lyle,77.0,71.142,292.6,60.84,64.61,0.149,0.021,0.17,0,0,2007,390303,869
79,Jason Bohn,57.0,70.614,287.1,65.2,65.01,-0.185,0.534,0.348,0,0,2007,527512,2334
80,Jason Dufner,100.0,71.154,289.7,60.74,65.06,-0.089,0.077,-0.012,1,0,2007,574992,2530
81,Jason Gore,86.0,70.969,303.0,63.33,65.57,0.1,0.108,0.208,3,0,2007,1105985,4483
82,Jason Schultz,63.0,71.69,295.7,60.61,62.24,0.022,-0.495,-0.474,0,0,2007,163244,504
83,Jeff Brehaut,59.0,71.754,291.2,66.04,65.11,-0.25,-0.397,-0.647,0,0,2007,202389,711
84,Jeff Gove,103.0,71.146,290.5,65.67,70.17,-0.774,0.812,0.038,1,0,2007,526644,1763
85,Jeff Maggert,79.0,71.195,284.2,65.73,66.53,-0.066,0.019,-0.047,1,0,2007,845585,3304
86,Jeff Overton,60.0,70.339,299.3,63.66,68.87,0.06,0.822,0.882,3,0,2007,1009630,2977
87,Jeff Quinney,95.0,71.112,281.5,65.99,65.61,0.067,-0.104,-0.037,5,0,2007,1612056,6160
88,Jeff Sluman,60.0,71.758,280.5,59.41,61.01,-0.313,-0.335,-0.648,1,0,2007,273192,1030
89,Jerry Kelly,101.0,70.313,281.0,68.28,64.83,-0.227,0.848,0.621,7,0,2007,1978034,8259
90,Jesper Parnevik,88.0,70.629,288.5,62.31,66.53,0.979,-0.375,0.604,1,0,2007,1075216,1976
91,Jim Furyk,84.0,69.474,279.7,74.37,69.44,-0.083,1.202,1.119,8,1,2007,4154046,19214
92,Jim Rutledge,59.0,72.679,288.5,67.27,64.24,-0.425,-1.042,-1.466,0,0,2007,62242,178
93,Joe Durant,88.0,71.038,284.3,73.71,68.52,-0.901,0.88,-0.021,0,0,2007,723599,2500
94,Joe Ogilvie,102.0,70.761,289.5,61.23,61.68,0.351,0.073,0.425,2,1,2007,1339153,4311
95,Joey Sindelar,75.0,71.664,287.1,65.29,66.67,-0.102,-0.171,-0.273,0,0,2007,310717,1160
96,John Daly,59.0,71.927,312.9,41.86,61.3,-0.297,-0.478,-0.775,0,0,2007,248501,1081
97,John Mallinger,96.0,71.085,280.9,69.91,62.96,0.068,-0.068,0.0,4,0,2007,1681764,5888
98,John Merrick,92.0,71.265,297.1,61.41,69.13,-0.409,0.385,-0.025,1,0,2007,649438,2358
99,John Rollins,102.0,70.419,290.4,64.81,63.64,0.104,0.413,0.517,4,0,2007,2488891,10577
100,John Senden,97.0,70.566,294.2,65.91,70.33,-0.25,0.778,0.528,5,0,2007,1899558,6268
101,Johnson Wagner,97.0,71.144,285.5,64.18,67.75,-0.229,0.424,0.195,2,0,2007,1013024,2420
102,Jonathan Byrd,73.0,70.488,292.0,59.84,63.55,0.296,0.213,0.51,4,1,2007,1854906,9969
103,JosÃ© Coceres,50.0,70.737,273.0,75.47,61.96,-0.283,0.245,-0.038,3,0,2007,1287843,4980
104,JosÃ© MarÃ­a OlazÃ¡bal,52.0,71.521,276.0,50.5,54.33,0.481,-0.945,-0.464,1,0,2007,979249,3202
105,Justin Leonard,95.0,70.527,282.7,70.05,64.8,0.124,0.393,0.517,5,1,2007,2079248,3998
106,Justin Rose,63.0,69.301,288.7,63.93,65.73,0.061,0.816,0.878,7,0,2007,2705875,12682
